ID_POST,comment,sentiment
55002b8b828463a4178b457b,"  Hello, urgent service messages do not arrive. Either the app brings the message that an error has occurred or it says that the message has been sent successfully and someone will contact me immediately. If, however, no notification came  in the case of an urgent damage report to the  - not even a confirmation of receipt - then this is not immediate! I doubt that the message was sent. Sometimes the submit button is also out of function, i.e. h. nothing happens when it is pressed.   ",-0.7674247324466705
5508260e828463ae4a8b45fa,missing,0.0
552547e8828463e9288b4586,  Maybe take a look at the old apartment.   ,-0.02642124891281128
552f62c78284636b568b4577,  Good and original thing :-) Great and useful tips can be found on the  and I am thrilled. Greetings     ,0.9900907715782523
552fa7218284634b608b4581,  Thank you very much for this hint! We will be happy to clarify this and get back to you as soon as we know more!   ,0.9716357107972726
552fa7218284634b608b4581,"  In the meantime, we have been able to clarify the question: The paths will be redone in . Unfortunately, due to truck traffic and the lack of sidewalks, it is not possible to open a passage for safety reasons. However, there should be a shortcut for  on the side of  21. Can anyone confirm that?   ",-0.5644118897616863
552fa7218284634b608b4581,"  Hello everyone. I think the ""shortcut"" probably means the path between our two buildings (construction site F) and the Gronhus (construction site E), so you do not have to go the same way that the vehicles have to drive to .  However, it does not change the detour via Riehenring and Musical Theater.   ",-0.05230545997619629
5538eba2828463e1218b45af,  Because of the floor tiles in the bathroom: take a look at the comments on this thread:    ,-0.32968468591570854
553bac0a828463117f8b457f,"  Unfortunately have no tip, but the same problem. Every single drop of water gives a stain. Presumably it has to do with the construction site dust?   ",-0.8652031812816858
553bac0a828463117f8b457f,  I was told to take apple cider vinegar cleaner to clean the floor and then suck away the resulting lint. Or with a steam cleaner. I doubt that this is possible.   ,-0.7043726611882448
553bac0a828463117f8b457f,  yes - first wet and then vacuum! Best regards    ,0.758153984323144
553bac0a828463117f8b457f,  We have already tried a lot and have not yet found anything really useful!   ,-0.6715019941329956
553bac0a828463117f8b457f,  It is at least reassuring that everyone has the same problem :)   ,0.7567901536822319
553bac0a828463117f8b457f,"  Good morning - very difficult indeed. I also constantly slide on my knees and try to get the floor clean. As soon as you have cleaned it a bit, dirt / dust can be seen on the tiles again (but in this case it is actually on the construction site)  We also have unpleasantly stubborn color spots, which unfortunately (despite all efforts) have not yet been removed. We asked for professional cleaning, but that will take some time :(  Are there any more who have this problem?   ",-0.7691513262689114
